# SignalP-6.0	Organism: Other	Timestamp: 20220615203505
# ID	Prediction	OTHER	SP(Sec/SPI)	LIPO(Sec/SPII)	TAT(Tat/SPI)	TATLIPO(Sec/SPII)	PILIN(Sec/SPIII)	CS Position
Glyma.11G140800	SP	0.000229	0.999188	0.000138	0.000155	0.000133	0.000132	CS pos: 24-25. Pr: 0.9122
Glyma.11G220700	SP	0.000272	0.999137	0.000148	0.000150	0.000137	0.000134	CS pos: 22-23. Pr: 0.9686
Glyma.12G031000	SP	0.000182	0.999238	0.000147	0.000145	0.000134	0.000130	CS pos: 24-25. Pr: 0.9790
Glyma.12G031200	SP	0.000182	0.999224	0.000141	0.000151	0.000127	0.000124	CS pos: 24-25. Pr: 0.9746
Glyma.12G064300	SP	0.000216	0.999231	0.000138	0.000158	0.000133	0.000132	CS pos: 24-25. Pr: 0.9432
Glyma.12G238900	SP	0.000256	0.999081	0.000155	0.000168	0.000143	0.000141	CS pos: 19-20. Pr: 0.9811
Glyma.13G082700	SP	0.000213	0.999232	0.000152	0.000135	0.000122	0.000118	CS pos: 27-28. Pr: 0.9478
Glyma.14G077267	SP	0.000774	0.998565	0.000170	0.000160	0.000147	0.000151	CS pos: 26-27. Pr: 0.9720
Glyma.14G077333	SP	0.463023	0.535022	0.000599	0.000454	0.000390	0.000515	CS pos: 26-27. Pr: 0.4562
Glyma.14G077400	SP	0.000692	0.998391	0.000233	0.000236	0.000212	0.000210	CS pos: 26-27. Pr: 0.9741
Glyma.14G163700	SP	0.000205	0.999245	0.000149	0.000137	0.000122	0.000118	CS pos: 27-28. Pr: 0.9557
Glyma.14G188400	SP	0.000294	0.999109	0.000156	0.000152	0.000134	0.000132	CS pos: 26-27. Pr: 0.9667
Glyma.14G219600	SP	0.046092	0.952439	0.000563	0.000307	0.000259	0.000298	CS pos: 25-26. Pr: 0.8783
Glyma.15G254700	SP	0.000198	0.999229	0.000146	0.000155	0.000132	0.000126	CS pos: 21-22. Pr: 0.9796
Glyma.16G126900	SP	0.000771	0.998557	0.000211	0.000151	0.000155	0.000154	CS pos: 28-29. Pr: 0.9597
Glyma.16G127100	SP	0.010645	0.988403	0.000299	0.000221	0.000197	0.000205	CS pos: 27-28. Pr: 0.9371
Glyma.17G248300	SP	0.000246	0.999164	0.000153	0.000146	0.000134	0.000134	CS pos: 26-27. Pr: 0.9780
Glyma.17G258500	SP	0.085722	0.911908	0.001169	0.000459	0.000319	0.000412	CS pos: 24-25. Pr: 0.8411
Glyma.17G258600	SP	0.000216	0.999200	0.000156	0.000143	0.000133	0.000133	CS pos: 26-27. Pr: 0.9795
Glyma.19G018400	SP	0.000263	0.999141	0.000181	0.000145	0.000128	0.000124	CS pos: 27-28. Pr: 0.9543
