Matrix_ID	TF_Locus	Matrix_Type
TFmatrixID_0516	Glyma.04G047900.1	Inferred
TFmatrixID_0516	Glyma.01G195900	Inferred
TFmatrixID_0516	Glyma0041s00200.1	Inferred
TFmatrixID_0516	Glyma.01G022500.1	Inferred
TFmatrixID_0539	Glyma18g49100.1	Inferred
TFmatrixID_0539	Glyma.18G244600.1	Inferred
TFmatrixID_0539	Glyma.17G158300.2	Inferred
TFmatrixID_0539	Glyma.17G062600.2	Inferred
TFmatrixID_0539	Glyma.16G007400.1	Inferred
TFmatrixID_0539	Glyma.14G089200.1	Inferred
TFmatrixID_0539	Glyma.13G096900.1	Inferred
TFmatrixID_0539	Glyma.11G131900.1	Inferred
TFmatrixID_0539	Glyma.12G056300.1	Inferred
TFmatrixID_0539	Glyma.11G045800	Inferred
TFmatrixID_0539	Glyma.10G171400.1	Inferred
TFmatrixID_0539	Glyma09g33240.1	Inferred
TFmatrixID_0539	Glyma.08G279000.1	Inferred
TFmatrixID_0539	Glyma.06G049200.1	Inferred
TFmatrixID_0539	Glyma.05G108600	Inferred
TFmatrixID_0539	Glyma.04G047900.1	Inferred
TFmatrixID_0539	Glyma.01G195900	Inferred
TFmatrixID_0539	Glyma0041s00200.1	Inferred
TFmatrixID_0539	Glyma.01G022500.1	Inferred
TFmatrixID_0053	Glyma.20G203600.1	Inferred
TFmatrixID_0053	Glyma.20G195900.1	Inferred
TFmatrixID_0053	Glyma.20G070000.1	Inferred
TFmatrixID_0053	Glyma.19G104200.1	Inferred
TFmatrixID_0053	Glyma.18G281400.1	Inferred
TFmatrixID_0053	Glyma18g20960.1	Inferred
TFmatrixID_0053	Glyma.18G091600.1	Inferred
TFmatrixID_0053	Glyma.17G145300.1	Inferred
TFmatrixID_0053	Glyma17g02710.1	Inferred
TFmatrixID_0053	Glyma.16G148700.1	Inferred
TFmatrixID_0053	Glyma.16G164800.1	Inferred
TFmatrixID_0053	Glyma.16G047600.1	Inferred
TFmatrixID_0053	Glyma.16G147500.1	Inferred
TFmatrixID_0053	Glyma.16G046300.1	Inferred
TFmatrixID_0053	Glyma.15G159100.1	Inferred
TFmatrixID_0053	Glyma.15G159200.1	Inferred
TFmatrixID_0053	Glyma.15G079200.1	Inferred
TFmatrixID_0053	Glyma.15G077000.1	Inferred
TFmatrixID_0053	Glyma.15G077100.1	Inferred
TFmatrixID_0053	Glyma.14G020100.1	Inferred
TFmatrixID_0053	Glyma.14G050100.2	Inferred
TFmatrixID_0053	Glyma.13G274100.1	Inferred
TFmatrixID_0053	Glyma.13G236600.1	Inferred
TFmatrixID_0053	Glyma.13G236500.1	Inferred
TFmatrixID_0053	Glyma.13G233800.1	Inferred
TFmatrixID_0053	Glyma.13G122500.1	Inferred
TFmatrixID_0053	Glyma.12G226600.1	Inferred
TFmatrixID_0053	Glyma12g26780.1	Inferred
TFmatrixID_0053	Glyma12g13320.1	Inferred
TFmatrixID_0053	Glyma.11G036400.1	Inferred
TFmatrixID_0053	Glyma.10G223200.1	Inferred
TFmatrixID_0053	Glyma.10G186900.1	Inferred
TFmatrixID_0053	Glyma.10G118900.1	Inferred
TFmatrixID_0053	Glyma.10G036200.1	Inferred
TFmatrixID_0053	Glyma.09G053000.1	Inferred
TFmatrixID_0053	Glyma.09G052800	Inferred
TFmatrixID_0053	Glyma.09G052900.1	Inferred
TFmatrixID_0053	Glyma.08G320700.1	Inferred
TFmatrixID_0053	Glyma.08G281900.1	Inferred
TFmatrixID_0053	Glyma08g23070.1	Inferred
TFmatrixID_0053	Glyma08g28820.1	Inferred
TFmatrixID_0053	Glyma.07G250100.1	Inferred
TFmatrixID_0053	Glyma07g33510.1	Inferred
TFmatrixID_0053	Glyma07g23240.1	Inferred
TFmatrixID_0053	Glyma07g03040.1	Inferred
TFmatrixID_0053	Glyma.06G290000.1	Inferred
TFmatrixID_0053	Glyma.06G236400.1	Inferred
TFmatrixID_0053	Glyma.06G163700.1	Inferred
TFmatrixID_0053	Glyma.05G063500.1	Inferred
TFmatrixID_0053	Glyma.04G217400.1	Inferred
TFmatrixID_0053	Glyma04g37890.1	Inferred
TFmatrixID_0053	Glyma.03G255500.1	Inferred
TFmatrixID_0053	Glyma.03G159800	Inferred
TFmatrixID_0053	Glyma.03G094700.1	Inferred
TFmatrixID_0053	Glyma.02G294100.1	Inferred
TFmatrixID_0053	Glyma.02G267400.1	Inferred
TFmatrixID_0053	Glyma02g08840.1	Inferred
TFmatrixID_0053	Glyma.02G067600.1	Inferred
TFmatrixID_0053	Glyma.02G066200.1	Inferred
TFmatrixID_0053	Glyma.02G039300.1	Inferred
TFmatrixID_0053	Glyma.01G025400	Inferred
TFmatrixID_0059	Glyma.20G203600.1	Inferred
TFmatrixID_0059	Glyma18g20960.1	Inferred
TFmatrixID_0059	Glyma.18G091600.1	Inferred
TFmatrixID_0059	Glyma.16G148700.1	Inferred
TFmatrixID_0059	Glyma.16G164800.1	Inferred
TFmatrixID_0059	Glyma.15G159100.1	Inferred
TFmatrixID_0059	Glyma.15G159200.1	Inferred
TFmatrixID_0059	Glyma.15G077000.1	Inferred
TFmatrixID_0059	Glyma.15G077100.1	Inferred
TFmatrixID_0059	Glyma.14G020100.1	Inferred
TFmatrixID_0059	Glyma.14G050100.2	Inferred
TFmatrixID_0059	Glyma.13G274100.1	Inferred
TFmatrixID_0059	Glyma.13G236600.1	Inferred
TFmatrixID_0059	Glyma.13G236500.1	Inferred
TFmatrixID_0059	Glyma.13G122500.1	Inferred
TFmatrixID_0059	Glyma.12G226600.1	Inferred
TFmatrixID_0059	Glyma12g26780.1	Inferred
TFmatrixID_0059	Glyma12g13320.1	Inferred
TFmatrixID_0059	Glyma.10G223200.1	Inferred
TFmatrixID_0059	Glyma.10G186900.1	Inferred
TFmatrixID_0059	Glyma.10G036200.1	Inferred
TFmatrixID_0059	Glyma.10G007100.1	Inferred
TFmatrixID_0059	Glyma.09G053000.1	Inferred
TFmatrixID_0059	Glyma.09G052800	Inferred
TFmatrixID_0059	Glyma.09G052900.1	Inferred
TFmatrixID_0059	Glyma.08G320700.1	Inferred
TFmatrixID_0059	Glyma.08G281900.1	Inferred
TFmatrixID_0059	Glyma07g33510.1	Inferred
TFmatrixID_0059	Glyma07g23240.1	Inferred
TFmatrixID_0059	Glyma.06G290000.1	Inferred
TFmatrixID_0059	Glyma.06G236400.1	Inferred
TFmatrixID_0059	Glyma.04G217400.1	Inferred
TFmatrixID_0059	Glyma.03G255500.1	Inferred
TFmatrixID_0059	Glyma.03G159800	Inferred
TFmatrixID_0059	Glyma.03G094700.1	Inferred
TFmatrixID_0059	Glyma.02G294100.1	Inferred
TFmatrixID_0059	Glyma.02G267400.1	Inferred
TFmatrixID_0059	Glyma02g08840.1	Inferred
TFmatrixID_0059	Glyma.02G067600.1	Inferred
TFmatrixID_0059	Glyma.02G039300.1	Inferred
TFmatrixID_0059	Glyma.01G025400	Inferred
TFmatrixID_0061	Glyma.20G203600.1	Inferred
TFmatrixID_0061	Glyma18g20960.1	Inferred
TFmatrixID_0061	Glyma.18G091600.1	Inferred
TFmatrixID_0061	Glyma.16G148700.1	Inferred
TFmatrixID_0061	Glyma.15G077000.1	Inferred
TFmatrixID_0061	Glyma.15G077100.1	Inferred
TFmatrixID_0061	Glyma.14G020100.1	Inferred
TFmatrixID_0061	Glyma.14G050100.2	Inferred
TFmatrixID_0061	Glyma.13G274100.1	Inferred
TFmatrixID_0061	Glyma.13G236600.1	Inferred
TFmatrixID_0061	Glyma.13G236500.1	Inferred
TFmatrixID_0061	Glyma.13G122500.1	Inferred
TFmatrixID_0061	Glyma.12G226600.1	Inferred
TFmatrixID_0061	Glyma12g26780.1	Inferred
TFmatrixID_0061	Glyma12g13320.1	Inferred
TFmatrixID_0061	Glyma.10G223200.1	Inferred
TFmatrixID_0061	Glyma.10G186900.1	Inferred
TFmatrixID_0061	Glyma.10G036200.1	Inferred
TFmatrixID_0061	Glyma.09G053000.1	Inferred
TFmatrixID_0061	Glyma.09G052900.1	Inferred
TFmatrixID_0061	Glyma.08G320700.1	Inferred
TFmatrixID_0061	Glyma.08G281900.1	Inferred
TFmatrixID_0061	Glyma08g23070.1	Inferred
TFmatrixID_0061	Glyma07g23240.1	Inferred
TFmatrixID_0061	Glyma.06G290000.1	Inferred
TFmatrixID_0061	Glyma.06G236400.1	Inferred
TFmatrixID_0061	Glyma.03G159800	Inferred
TFmatrixID_0061	Glyma.02G294100.1	Inferred
TFmatrixID_0061	Glyma.02G267400.1	Inferred
TFmatrixID_0061	Glyma.02G067600.1	Inferred
TFmatrixID_0061	Glyma.02G039300.1	Inferred
TFmatrixID_0061	Glyma.01G025400	Inferred
TFmatrixID_0062	Glyma.20G203600.1	Inferred
TFmatrixID_0062	Glyma.19G104200.1	Inferred
TFmatrixID_0062	Glyma18g20960.1	Inferred
TFmatrixID_0062	Glyma.18G091600.1	Inferred
TFmatrixID_0062	Glyma17g02710.1	Inferred
TFmatrixID_0062	Glyma.16G148700.1	Inferred
TFmatrixID_0062	Glyma.16G164800.1	Inferred
TFmatrixID_0062	Glyma.16G047600.1	Inferred
TFmatrixID_0062	Glyma.16G147500.1	Inferred
TFmatrixID_0062	Glyma.16G046300.1	Inferred
TFmatrixID_0062	Glyma.15G077000.1	Inferred
TFmatrixID_0062	Glyma.15G077100.1	Inferred
TFmatrixID_0062	Glyma.14G020100.1	Inferred
TFmatrixID_0062	Glyma.14G050100.2	Inferred
TFmatrixID_0062	Glyma.13G274100.1	Inferred
TFmatrixID_0062	Glyma.13G236600.1	Inferred
TFmatrixID_0062	Glyma.13G236500.1	Inferred
TFmatrixID_0062	Glyma.13G123000.1	Inferred
TFmatrixID_0062	Glyma.12G226600.1	Inferred
TFmatrixID_0062	Glyma12g26780.1	Inferred
TFmatrixID_0062	Glyma12g13320.1	Inferred
TFmatrixID_0062	Glyma.10G223200.1	Inferred
TFmatrixID_0062	Glyma.10G036600.1	Inferred
TFmatrixID_0062	Glyma.08G320700.1	Inferred
TFmatrixID_0062	Glyma.08G281900.1	Inferred
TFmatrixID_0062	Glyma08g23070.1	Inferred
TFmatrixID_0062	Glyma.07G250100.1	Inferred
TFmatrixID_0062	Glyma07g23240.1	Inferred
TFmatrixID_0062	Glyma07g03040.1	Inferred
TFmatrixID_0062	Glyma.06G290000.1	Inferred
TFmatrixID_0062	Glyma.06G236400.1	Inferred
TFmatrixID_0062	Glyma.05G186700.1	Inferred
TFmatrixID_0062	Glyma.04G217400.1	Inferred
TFmatrixID_0062	Glyma.03G255500.1	Inferred
TFmatrixID_0062	Glyma.03G162600.1	Inferred
TFmatrixID_0062	Glyma.03G159800	Inferred
TFmatrixID_0062	Glyma.02G294100.1	Inferred
TFmatrixID_0062	Glyma.02G267400.1	Inferred
TFmatrixID_0062	Glyma02g08840.1	Inferred
TFmatrixID_0062	Glyma.02G067600.1	Inferred
TFmatrixID_0062	Glyma.02G066200.1	Inferred
TFmatrixID_0062	Glyma.02G039300.1	Inferred
TFmatrixID_0062	Glyma.01G025400	Inferred
TFmatrixID_0075	Glyma.20G203600.1	Inferred
TFmatrixID_0075	Glyma.19G262700.1	Inferred
TFmatrixID_0075	Glyma.19G213100.1	Inferred
TFmatrixID_0075	Glyma.19G104200.1	Inferred
TFmatrixID_0075	Glyma18g20960.1	Inferred
TFmatrixID_0075	Glyma.18G091600.1	Inferred
TFmatrixID_0075	Glyma17g02710.1	Inferred
TFmatrixID_0075	Glyma.16G148700.1	Inferred
TFmatrixID_0075	Glyma.16G164800.1	Inferred
TFmatrixID_0075	Glyma.16G047600.1	Inferred
TFmatrixID_0075	Glyma.16G147500.1	Inferred
TFmatrixID_0075	Glyma.16G046300.1	Inferred
TFmatrixID_0075	Glyma.16G012600	Inferred
TFmatrixID_0075	Glyma.15G159100.1	Inferred
TFmatrixID_0075	Glyma.15G159200.1	Inferred
TFmatrixID_0075	Glyma.15G152000.1	Inferred
TFmatrixID_0075	Glyma.15G077000.1	Inferred
TFmatrixID_0075	Glyma.15G077100.1	Inferred
TFmatrixID_0075	Glyma.14G020100.1	Inferred
TFmatrixID_0075	Glyma.14G050100.2	Inferred
TFmatrixID_0075	Glyma.13G274100.1	Inferred
TFmatrixID_0075	Glyma.13G236600.1	Inferred
TFmatrixID_0075	Glyma.13G236500.1	Inferred
TFmatrixID_0075	Glyma.13G233800.1	Inferred
TFmatrixID_0075	Glyma.13G123000.1	Inferred
TFmatrixID_0075	Glyma.13G122500.1	Inferred
TFmatrixID_0075	Glyma.12G226600.1	Inferred
TFmatrixID_0075	Glyma12g26780.1	Inferred
TFmatrixID_0075	Glyma12g13320.1	Inferred
TFmatrixID_0075	Glyma.10G223200.1	Inferred
TFmatrixID_0075	Glyma.10G186900.1	Inferred
TFmatrixID_0075	Glyma.10G036600.1	Inferred
TFmatrixID_0075	Glyma.10G036200.1	Inferred
TFmatrixID_0075	Glyma.10G016500.1	Inferred
TFmatrixID_0075	Glyma.10G007100.1	Inferred
TFmatrixID_0075	Glyma.09G053000.1	Inferred
TFmatrixID_0075	Glyma.09G052900.1	Inferred
TFmatrixID_0075	Glyma.08G320700.1	Inferred
TFmatrixID_0075	Glyma.08G281900.1	Inferred
TFmatrixID_0075	Glyma08g23070.1	Inferred
TFmatrixID_0075	Glyma.08G145300.1	Inferred
TFmatrixID_0075	Glyma.07G250100.1	Inferred
TFmatrixID_0075	Glyma07g37410.1	Inferred
TFmatrixID_0075	Glyma07g33510.1	Inferred
TFmatrixID_0075	Glyma07g23240.1	Inferred
TFmatrixID_0075	Glyma.07G044300	Inferred
TFmatrixID_0075	Glyma07g03040.1	Inferred
TFmatrixID_0075	Glyma.06G290000.1	Inferred
TFmatrixID_0075	Glyma.06G236400.1	Inferred
TFmatrixID_0075	Glyma.05G186700.1	Inferred
TFmatrixID_0075	Glyma.04G217400.1	Inferred
TFmatrixID_0075	Glyma.03G263700.1	Inferred
TFmatrixID_0075	Glyma.03G255500.1	Inferred
TFmatrixID_0075	Glyma.03G159800	Inferred
TFmatrixID_0075	Glyma.03G094700.1	Inferred
TFmatrixID_0075	Glyma.02G294100.1	Inferred
TFmatrixID_0075	Glyma.02G267400.1	Inferred
TFmatrixID_0075	Glyma02g08840.1	Inferred
TFmatrixID_0075	Glyma.02G067600.1	Inferred
TFmatrixID_0075	Glyma.02G066200.1	Inferred
TFmatrixID_0075	Glyma.02G039300.1	Inferred
TFmatrixID_0075	Glyma.02G016100.1	Inferred
TFmatrixID_0075	Glyma.01G025400	Inferred
TFmatrixID_0077	Glyma.20G203600.1	Inferred
TFmatrixID_0077	Glyma18g20960.1	Inferred
TFmatrixID_0077	Glyma.18G091600.1	Inferred
TFmatrixID_0077	Glyma.17G145300.1	Inferred
TFmatrixID_0077	Glyma.15G077000.1	Inferred
TFmatrixID_0077	Glyma.15G077100.1	Inferred
TFmatrixID_0077	Glyma.14G020100.1	Inferred
TFmatrixID_0077	Glyma.14G050100.2	Inferred
TFmatrixID_0077	Glyma.13G274100.1	Inferred
TFmatrixID_0077	Glyma.13G236600.1	Inferred
TFmatrixID_0077	Glyma.13G236500.1	Inferred
TFmatrixID_0077	Glyma.12G226600.1	Inferred
TFmatrixID_0077	Glyma12g26780.1	Inferred
TFmatrixID_0077	Glyma12g13320.1	Inferred
TFmatrixID_0077	Glyma.11G036400.1	Inferred
TFmatrixID_0077	Glyma.10G223200.1	Inferred
TFmatrixID_0077	Glyma.10G194200.1	Inferred
TFmatrixID_0077	Glyma.10G186900.1	Inferred
TFmatrixID_0077	Glyma.08G320700.1	Inferred
TFmatrixID_0077	Glyma.08G281900.1	Inferred
TFmatrixID_0077	Glyma07g23240.1	Inferred
TFmatrixID_0077	Glyma.06G290000.1	Inferred
TFmatrixID_0077	Glyma.06G236400.1	Inferred
TFmatrixID_0077	Glyma.05G063500.1	Inferred
TFmatrixID_0077	Glyma.03G159800	Inferred
TFmatrixID_0077	Glyma.02G294100.1	Inferred
TFmatrixID_0077	Glyma.02G267400.1	Inferred
TFmatrixID_0077	Glyma.02G039300.1	Inferred
TFmatrixID_0077	Glyma.01G025400	Inferred
TFmatrixID_0101	Glyma.20G203600.1	Inferred
TFmatrixID_0101	Glyma.20G203700.1	Inferred
TFmatrixID_0101	Glyma.20G203500.1	Inferred
TFmatrixID_0101	Glyma.20G195900.1	Inferred
TFmatrixID_0101	Glyma.20G070000.1	Inferred
TFmatrixID_0101	Glyma19g43820.1	Inferred
TFmatrixID_0101	Glyma.19G163900.1	Inferred
TFmatrixID_0101	Glyma.19G163700.1	Inferred
TFmatrixID_0101	Glyma19g34690.1	Inferred
TFmatrixID_0101	Glyma18g48740.1	Inferred
TFmatrixID_0101	Glyma18g20960.1	Inferred
TFmatrixID_0101	Glyma.18G252300.1	Inferred
TFmatrixID_0101	Glyma.18G091600.1	Inferred
TFmatrixID_0101	Glyma.17G145400.1	Inferred
TFmatrixID_0101	Glyma.17G145300.1	Inferred
TFmatrixID_0101	Glyma.16G148700.1	Inferred
TFmatrixID_0101	Glyma.16G164800.1	Inferred
TFmatrixID_0101	Glyma.16G046300.1	Inferred
TFmatrixID_0101	Glyma.15G159100.1	Inferred
TFmatrixID_0101	Glyma.15G159200.1	Inferred
TFmatrixID_0101	Glyma.15G079200.1	Inferred
TFmatrixID_0101	Glyma.15G077000.1	Inferred
TFmatrixID_0101	Glyma15g08560.1	Inferred
TFmatrixID_0101	Glyma.13G274100.1	Inferred
TFmatrixID_0101	Glyma.13G236600.1	Inferred
TFmatrixID_0101	Glyma.13G236500.1	Inferred
TFmatrixID_0101	Glyma.13G233900.1	Inferred
TFmatrixID_0101	Glyma.13G233800.1	Inferred
TFmatrixID_0101	Glyma.13G123100.1	Inferred
TFmatrixID_0101	Glyma.13G122800.1	Inferred
TFmatrixID_0101	Glyma.13G122500.1	Inferred
TFmatrixID_0101	Glyma.12G226600.1	Inferred
TFmatrixID_0101	Glyma.11G036500.1	Inferred
TFmatrixID_0101	Glyma.11G036400.1	Inferred
TFmatrixID_0101	Glyma.10G223200.1	Inferred
TFmatrixID_0101	Glyma.10G194200.1	Inferred
TFmatrixID_0101	Glyma.10G187000.1	Inferred
TFmatrixID_0101	Glyma.10G186800.1	Inferred
TFmatrixID_0101	Glyma.10G186900.1	Inferred
TFmatrixID_0101	Glyma.10G118900.1	Inferred
TFmatrixID_0101	Glyma.10G036700.1	Inferred
TFmatrixID_0101	Glyma.10G036200.1	Inferred
TFmatrixID_0101	Glyma.10G036300.1	Inferred
TFmatrixID_0101	Glyma.10G007100.1	Inferred
TFmatrixID_0101	Glyma.10G007000.1	Inferred
TFmatrixID_0101	Glyma.09G242600.1	Inferred
TFmatrixID_0101	Glyma.09G053000.1	Inferred
TFmatrixID_0101	Glyma.09G052800	Inferred
TFmatrixID_0101	Glyma.09G052900.1	Inferred
TFmatrixID_0101	Glyma.08G320700.1	Inferred
TFmatrixID_0101	Glyma.08G281900.1	Inferred
TFmatrixID_0101	Glyma.08G145300.1	Inferred
TFmatrixID_0101	Glyma07g37410.1	Inferred
TFmatrixID_0101	Glyma07g33510.1	Inferred
TFmatrixID_0101	Glyma.06G236400.1	Inferred
TFmatrixID_0101	Glyma.05G186700.1	Inferred
TFmatrixID_0101	Glyma.05G063600.1	Inferred
TFmatrixID_0101	Glyma.05G063500.1	Inferred
TFmatrixID_0101	Glyma.04G217400.1	Inferred
TFmatrixID_0101	Glyma.03G162700.1	Inferred
TFmatrixID_0101	Glyma.03G111700.1	Inferred
TFmatrixID_0101	Glyma02g08840.1	Inferred
TFmatrixID_0101	Glyma.02G067600.1	Inferred
TFmatrixID_0101	Glyma.02G039300.1	Inferred
TFmatrixID_0101	Glyma.02G006300.1	Inferred
TFmatrixID_0101	Glyma.02G006200.1	Inferred
TFmatrixID_0101	Glyma.01G206600.1	Inferred
TFmatrixID_0101	Glyma.01G025400	Inferred
TFmatrixID_0110	Glyma18g20960.1	Inferred
TFmatrixID_0110	Glyma.18G091600.1	Inferred
TFmatrixID_0110	Glyma.17G145300.1	Inferred
TFmatrixID_0110	Glyma.16G046300.1	Inferred
TFmatrixID_0110	Glyma.15G077000.1	Inferred
TFmatrixID_0110	Glyma.15G077100.1	Inferred
TFmatrixID_0110	Glyma.14G020100.1	Inferred
TFmatrixID_0110	Glyma.13G274100.1	Inferred
TFmatrixID_0110	Glyma.13G236600.1	Inferred
TFmatrixID_0110	Glyma.13G236500.1	Inferred
TFmatrixID_0110	Glyma.12G226600.1	Inferred
TFmatrixID_0110	Glyma12g26780.1	Inferred
TFmatrixID_0110	Glyma12g13320.1	Inferred
TFmatrixID_0110	Glyma.11G036400.1	Inferred
TFmatrixID_0110	Glyma.08G320700.1	Inferred
TFmatrixID_0110	Glyma.08G281900.1	Inferred
TFmatrixID_0110	Glyma.06G290000.1	Inferred
TFmatrixID_0110	Glyma.06G236400.1	Inferred
TFmatrixID_0110	Glyma.05G063500.1	Inferred
TFmatrixID_0110	Glyma.03G159800	Inferred
TFmatrixID_0110	Glyma.02G294100.1	Inferred
TFmatrixID_0110	Glyma.02G067600.1	Inferred
TFmatrixID_0110	Glyma.02G039300.1	Inferred
TFmatrixID_0110	Glyma.01G025400	Inferred
TFmatrixID_0122	Glyma.20G203600.1	Inferred
TFmatrixID_0122	Glyma.20G203700.1	Inferred
TFmatrixID_0122	Glyma.20G070000.1	Inferred
TFmatrixID_0122	Glyma.19G262700.1	Inferred
TFmatrixID_0122	Glyma.19G213100.1	Inferred
TFmatrixID_0122	Glyma18g20960.1	Inferred
TFmatrixID_0122	Glyma.17G254600.1	Inferred
TFmatrixID_0122	Glyma.16G148700.1	Inferred
TFmatrixID_0122	Glyma.16G046300.1	Inferred
TFmatrixID_0122	Glyma.16G012600	Inferred
TFmatrixID_0122	Glyma.15G152000.1	Inferred
TFmatrixID_0122	Glyma.15G077000.1	Inferred
TFmatrixID_0122	Glyma.14G171500.1	Inferred
TFmatrixID_0122	Glyma.14G056200	Inferred
TFmatrixID_0122	Glyma.14G070000.1	Inferred
TFmatrixID_0122	Glyma.13G274100.1	Inferred
TFmatrixID_0122	Glyma.13G236600.1	Inferred
TFmatrixID_0122	Glyma.13G236500.1	Inferred
TFmatrixID_0122	Glyma.13G233800.1	Inferred
TFmatrixID_0122	Glyma.13G122700.1	Inferred
TFmatrixID_0122	Glyma.13G088100.1	Inferred
TFmatrixID_0122	Glyma.12G226600.1	Inferred
TFmatrixID_0122	Glyma.11G019000.1	Inferred
TFmatrixID_0122	Glyma.10G186800.1	Inferred
TFmatrixID_0122	Glyma.10G186900.1	Inferred
TFmatrixID_0122	Glyma.10G118900.1	Inferred
TFmatrixID_0122	Glyma.10G016500.1	Inferred
TFmatrixID_0122	Glyma.09G041500.1	Inferred
TFmatrixID_0122	Glyma.08G281900.1	Inferred
TFmatrixID_0122	Glyma07g37410.1	Inferred
TFmatrixID_0122	Glyma.07G044300	Inferred
TFmatrixID_0122	Glyma.06G301300.1	Inferred
TFmatrixID_0122	Glyma.06G236400.1	Inferred
TFmatrixID_0122	Glyma.06G105000.1	Inferred
TFmatrixID_0122	Glyma.04G103900.1	Inferred
TFmatrixID_0122	Glyma.03G263700.1	Inferred
TFmatrixID_0122	Glyma.03G162500.1	Inferred
TFmatrixID_0122	Glyma.02G294100.1	Inferred
TFmatrixID_0122	Glyma.02G261700.1	Inferred
TFmatrixID_0122	Glyma.02G067600.1	Inferred
TFmatrixID_0122	Glyma.02G039300.1	Inferred
TFmatrixID_0122	Glyma.02G016100.1	Inferred
TFmatrixID_0122	Glyma.02G006200.1	Inferred
TFmatrixID_0122	Glyma.01G224100.1	Inferred
TFmatrixID_0122	Glyma.01G025400	Inferred
TFmatrixID_0070	Glyma.20G155200.1	Inferred
TFmatrixID_0070	Glyma.19G256800.1	Inferred
TFmatrixID_0070	Glyma.19G192400.1	Inferred
TFmatrixID_0070	Glyma.17G194100.1	Inferred
TFmatrixID_0070	Glyma.17G143900.1	Inferred
TFmatrixID_0070	Glyma.17G131800.1	Inferred
TFmatrixID_0070	Glyma.16G199000.1	Inferred
TFmatrixID_0070	Glyma.16G023800.1	Inferred
TFmatrixID_0070	Glyma.15G025100.1	Inferred
TFmatrixID_0070	Glyma.15G018400.1	Inferred
TFmatrixID_0070	Glyma.14G146100.1	Inferred
TFmatrixID_0070	Glyma.13G355700.1	Inferred
TFmatrixID_0070	Glyma.13G318500	Inferred
