Duplicate_1	Duplicate_2	Ka	Ks	Ka.Ks	Mode	Divergence_MYA
Glyma.10G060800	Glyma.10G060900	0.294054	0.60166	0.488738	TD	49
Glyma.10G060900	Glyma.10G061000	0.294054	0.60166	0.488738	TD	49
Glyma.10G061000	Glyma.10G061100	0.297173	0.608885	0.48806	TD	50
Glyma.10G061700	Glyma.10G061800	0.105388	0.494391	0.213166	TD	41
Glyma.14G077300	Glyma.14G077400	0.118707	0.376852	0.314996	TD	31
Glyma.10G062100	Glyma.12G031200	0.689246	3.73547	0.184514	TRD	306
Glyma.15G275200	Glyma.14G219600	0.124543	0.352785	0.353028	TRD	29
Glyma.19G087400	Glyma.01G165600	0.335175	2.30684	0.145296	TRD	189
Glyma.10G062100	Glyma.06G023900	0.660644	3.77055	0.175211	TRD	309
Glyma.01G165400	Glyma.02G047400	0.188159	1.03761	0.18134	WGD	85
Glyma.01G165600	Glyma.04G023700	0.315776	3.0864	0.102312	WGD	253
Glyma.01G217600	Glyma.05G204600	0.246766	3.64535	0.0676935	WGD	299
Glyma.01G217600	Glyma.11G025600	0.0246152	0.312952	0.078655	WGD	26
Glyma.01G165400	Glyma.11G077800	0.0306952	0.143721	0.213575	WGD	12
Glyma.01G165600	Glyma.11G077700	0.0279115	0.189824	0.147039	WGD	16
Glyma.01G165400	Glyma.16G126900	0.185191	0.821846	0.225335	WGD	67
Glyma.01G165600	Glyma.16G127100	0.169626	1.15259	0.147169	WGD	94
Glyma.02G220900	Glyma.04G225800	0.185556	0.955975	0.194102	WGD	78
Glyma.02G220900	Glyma.06G139000	0.14124	0.559326	0.252518	WGD	46
Glyma.02G249500	Glyma.07G135100	0.213394	1.94697	0.109603	WGD	160
Glyma.02G249500	Glyma.11G220700	0.138258	0.863669	0.160082	WGD	71
Glyma.02G047400	Glyma.11G077800	0.18571	1.03223	0.179912	WGD	85
Glyma.02G220900	Glyma.14G188400	0.016900600000000002	0.129773	0.130233	WGD	11
Glyma.02G047400	Glyma.16G126900	0.035	0.204815	0.170886	WGD	17
Glyma.02G249500	Glyma.18G036700	0.199626	0.835275	0.238995	WGD	68
Glyma.04G023700	Glyma.06G023900	0.031579	0.139665	0.226105	WGD	11
Glyma.04G176200	Glyma.06G189100	0.342446	1.29886	0.26365	WGD	106
Glyma.04G225800	Glyma.06G139000	0.0455618	0.135212	0.336965	WGD	11
Glyma.04G034300	Glyma.14G077300	0.170762	0.969287	0.176173	WGD	79
Glyma.04G225800	Glyma.14G188400	0.182467	0.802947	0.227246	WGD	66
Glyma.04G023700	Glyma.14G219600	0.134862	0.978899	0.13777	WGD	80
Glyma.04G023700	Glyma.17G258500	0.136215	1.20311	0.113219	WGD	99
Glyma.04G034300	Glyma.17G248300	0.169206	1.00569	0.168248	WGD	82
Glyma.05G169700	Glyma.08G128000	0.0149034	0.0960958	0.155089	WGD	8
Glyma.05G245800	Glyma.08G053600	0.021368	0.291428	0.0733218	WGD	24
Glyma.05G204600	Glyma.11G025600	0.250808	3.61912	0.0693008	WGD	297
Glyma.06G023900	Glyma.11G077700	0.296367	2.81574	0.105254	WGD	231
Glyma.06G023900	Glyma.14G219600	0.139051	1.7853	0.0778864	WGD	146
Glyma.06G139000	Glyma.14G188400	0.133995	0.617865	0.216868	WGD	51
Glyma.06G023900	Glyma.17G258500	0.143412	0.971417	0.147632	WGD	80
Glyma.07G135100	Glyma.11G220700	0.221874	2.32235	0.0955382	WGD	190
Glyma.07G135100	Glyma.18G185100	0.021553	0.119399	0.180513	WGD	10
Glyma.07G135100	Glyma.18G036700	0.268432	2.27646	0.117917	WGD	187
Glyma.08G172700	Glyma.15G254700	0.060335	0.169821	0.355285	WGD	14
Glyma.09G003600	Glyma.12G238900	0.0423856	0.174233	0.243269	WGD	14
Glyma.11G140800	Glyma.12G064300	0.0186128	0.681295	0.0273198	WGD	56
Glyma.11G106100	Glyma.12G031000	0.0192554	0.154995	0.124232	WGD	13
Glyma.11G106200	Glyma.12G031200	0.0395357	0.133628	0.295865	WGD	11
Glyma.11G077700	Glyma.16G127100	0.180287	1.6919	0.106559	WGD	139
Glyma.11G077800	Glyma.16G126900	0.187826	0.855043	0.219668	WGD	70
Glyma.11G077700	Glyma.17G258500	0.234231	3.5458	0.0660587	WGD	291
Glyma.11G077800	Glyma.17G258600	0.349154	2.0809	0.16779	WGD	171
Glyma.11G220700	Glyma.18G185100	0.23097	2.97849	0.0775462	WGD	244
Glyma.11G220700	Glyma.18G036700	0.0855078	0.167632	0.510093	WGD	14
Glyma.13G082700	Glyma.14G163700	0.0506112	0.370293	0.136679	WGD	30
Glyma.14G219600	Glyma.17G258500	0.0251914	0.314839	0.0800138	WGD	26
Glyma.14G077300	Glyma.17G248300	0.108004	0.343468	0.31445	WGD	28
